id,title,title_japanese,type,source,episodes,status,aired_from,aired_to,score,scored_by,rank,popularity,members,favorites,rating,duration,year,season,genres,studios,image_url,synopsis
3760,Grimm Douwa: Kin no Tori,グリム童話 金の鳥,Movie,Other,1,Finished Airing,1987-03-14T00:00:00+00:00,,6.71,928,6449,11315,3011,7,G - All Ages,52 min,,,"Adventure, Fantasy",Toei Animation,https://cdn.myanimelist.net/images/anime/1784/112828.jpg,"""Kin No Tori"" is an adaptation of the homonymous fairy tale ""The Golden Bird"" by Brothers Grimm.

A golden apple is stolen from the King's garden. The King orders his three sons to guard the apples in turn and to find out who is the thief. When the youngest son, Hansu, presents a feather that he got from the golden bird that stole the apple the king sends his three sons to bring this bird to him and so Hansu journey begins. 

Completed in 1984, this film was shelved for three years before being "
3761,Wanwan Sanjuushi,ワンワン三銃士,TV,Novel,26,Finished Airing,1981-10-02T00:00:00+00:00,1982-03-26T00:00:00+00:00,6.86,1989,5556,10288,4081,12,G - All Ages,24 min per ep,1981,fall,Adventure,Nippon Animation,https://cdn.myanimelist.net/images/anime/1993/129946.jpg,"The story begins with the arrival of a brave young boy in Paris. His ambition is to join the glorious Imperial Guards, but fierce competition and the minimum age requirement hinder him from joining. The boy then challenges the well-known Three Musketeers in order to demonstrate his excellent skills with the sword. However, at the very moment the fight begins, a power-hungry group cuts in. Realizing their wicked intention, the boy D'artagnan and the Three Musketeers quickly cooperate and defeat t"
3762,The Borgman: Last Battle,THE·BORGMAN LAST BATTLE (ザ・ボーグマン ラストバトル),OVA,Other,1,Finished Airing,1989-09-16T00:00:00+00:00,,6.32,559,9003,13313,1685,0,PG-13 - Teens 13 or older,59 min,,,"Action, Fantasy, Sci-Fi",Ashi Productions,https://cdn.myanimelist.net/images/anime/1322/106024.jpg,"It has been three years since the end of the series. Ryo works for NASA as an engineer on a large rocket project. Anise, fellow Borgman and lover, has been reduced to flipping burgers in a restaurant. So naturally, when she gets a letter offering her a professional job in a big, Japanese, high-tech project, she jumps at the chance. Ryo, however, is as indecisive as ever and so she leaves for Japan without him.
  
Chuck Sweager, the third Borgman, is a police officer, as is his girlfriend Miki. W"
3763,Chouon Senshi Borgman: Lovers Rain,超音戦士ボーグマン LOVERS RAIN,Movie,Other,1,Finished Airing,1990-12-01T00:00:00+00:00,,6.16,544,9906,13267,1703,0,PG-13 - Teens 13 or older,33 min,,,"Action, Fantasy, Sci-Fi",Ashi Productions,https://cdn.myanimelist.net/images/anime/5/6671.jpg,"The OVA series Sonic Soldier Borgman serves as a sequel to the 1980s television series about an elite squad of bio-enhanced, crime-fighting humans known as Borgmen. Picking up several years after the dissolution of the original Borgman team, this volume reunites the three remaining members--rocket scientist Ryo, his girlfriend Anise, and police officer Chuck Sweager--for the emotionally-driven episode ""Lover`s Rain,"" which finds the trio facing an army of the undead bent on a rampage of murder a"
3764,Chouon Senshi Borgman 2: Shinseiki 2058,超音戦士ボーグマン2 [SECOND] -新世紀2058-,OVA,Unknown,3,Finished Airing,1993-10-01T00:00:00+00:00,1993-12-01T00:00:00+00:00,6.14,446,10028,13902,1432,0,PG-13 - Teens 13 or older,29 min per ep,,,"Action, Fantasy, Sci-Fi",Ashi Productions,https://cdn.myanimelist.net/images/anime/1242/99367.jpg,"In 2058, the menace of the Youma (demons) returns under the evil leadership of the Master. A new generation of Borgman, under the leadership of Chuck Sweager, is mankind's only hope of stopping the plague of evil before it consumes all of Megalocity. But Ken, an unwilling recruit to the Borgman, may have more in common with the enemy than with humankind...

(Source: Orphan Fansubs)"
3765,Pygmalio,ピグマリオ,TV,Manga,39,Finished Airing,1990-11-05T00:00:00+00:00,1991-09-16T00:00:00+00:00,6.95,722,5048,12417,2212,8,G - All Ages,24 min per ep,1990,fall,"Adventure, Fantasy",Nippon Animation,https://cdn.myanimelist.net/images/anime/1139/154319.jpg,"Coult, the prince of the kingdom of Loon, is living a happy life with his father King Stephan and many retainers. He is cheerful, bright, tender-hearted, and gifted by the god Aganade. Coult’s mother Galatea (the daughter of Aganade) married King Stephan. However, Medusa, the daughter of the evil spirit, was envious of her happiness and turned her into a statue together with many villagers when Coult was still a baby. In order to save the other villagers, Stephan pledged allegiance to Medusa, an"
3768,Play Ball,プレイボール,TV,Manga,13,Finished Airing,2005-07-05T00:00:00+00:00,2005-09-27T00:00:00+00:00,6.48,314,8001,13943,1420,2,G - All Ages,24 min per ep,2005,summer,Sports,Magic Bus,https://cdn.myanimelist.net/images/anime/12/6695.jpg,"After fracturing a finger in a junior high school game, Takao Taniguchi is unable to play baseball. After entering Sumitani High School, he is constantly watching the baseball club even though he is unable to play. He catches the eye of the captain of the soccer club, and while he still has lingering hopes of joining the baseball club, he decides to join the soccer club. 

While he's a complete beginner, Taniguchi developed a strong spirit of hard work while in junior high school and his new tea"
3769,Play Ball 2nd,プレイボール2nd,TV,Manga,13,Finished Airing,2006-01-10T00:00:00+00:00,2006-03-28T00:00:00+00:00,6.17,157,9878,15909,870,2,G - All Ages,24 min per ep,2006,winter,Sports,Magic Bus,https://cdn.myanimelist.net/images/anime/8/6696.jpg,A continuation of the Play Ball TV series.
3771,"Nee, Chanto Shiyou Yo!",姉、ちゃんとしようよっ！,OVA,Visual novel,5,Finished Airing,2005-11-25T00:00:00+00:00,2007-07-27T00:00:00+00:00,6.99,5110,,6335,14175,81,Rx - Hentai,28 min per ep,,,Hentai,Studio 9 Maiami,https://cdn.myanimelist.net/images/anime/1904/112758.jpg,"Based on a game by Candy Soft 

My name is Kuya Hiiragi. Actually, I have six elder sisters. The eldest sister is Hinano Ne-san although she looks quite young. She is always worrying about that, so if she is treated like a child, she gets angry. The second sister is Kaname Onee-sama. She is a popular lawyer and is known as the ""Icy Lawyer"". In fact, she is my first love. The third is Serori Ne-Ne. She is half Japanese and half North European. She has the most voluptuous body of all the sisters, "
3772,Saiko Robot Kombock,로보짱 큐빅스,TV,Unknown,26,Finished Airing,2001-08-11T00:00:00+00:00,2004-04-26T00:00:00+00:00,5.37,2714,13642,9287,5499,8,PG - Children,23 min per ep,2001,summer,Sci-Fi,CinePix,https://cdn.myanimelist.net/images/anime/4/20756.jpg,"The year is 2040. Japanese robot technology is making remarkable progress; they can understand human language, and they've even succeeded in developing a humanoid robot that can feel emotions. The setting is a future town on the outskirts of Musashino in the Tokyo area, where humans and robots live together, ""New Musashino City."" In this town, our main character Ichiro and his friends, as well as some robots, all get along very well. Before these friends appears a mad scientist, Professor K, ben"
3776,Go! Go! Itsutsugo Land,ゴーゴー五つ子ら・ん・ど,TV,Unknown,50,Finished Airing,2001-04-14T00:00:00+00:00,2002-03-30T00:00:00+00:00,6.46,408,8111,14660,1193,1,G - All Ages,20 min per ep,2001,spring,,Magic Bus,https://cdn.myanimelist.net/images/anime/1161/156436.jpg,"The series is about five quintuplets, Kabuto, Hinoki, Arashi, Kinoko and Kodama Morino, who have all kinds of adventures together. Each has their own talent and personality."
3778,Yuukan Club,有閑倶楽部,OVA,Manga,2,Finished Airing,1991-07-25T00:00:00+00:00,1991-12-14T00:00:00+00:00,5.76,475,12111,13757,1485,2,PG-13 - Teens 13 or older,35 min per ep,,,"Comedy, Mystery",Madhouse,https://cdn.myanimelist.net/images/anime/7/73828.jpg,"St. President school is one of the most wealthy schools around. Everybody in that school respects the Yukan club, the most popular and richest group in the school. This includes Shouchikubai Miroku, Kenbishi Yuuri, Kikumasamune Seishirou, Hakushika Noriko and Kizakura Karen. They go through dangerous adventures to save their school, and of course, just to kill their spare time."
3782,Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),劇場版 空の境界 the Garden of sinners 第二章『殺人考察（前）』,Movie,Light novel,1,Finished Airing,2007-12-29T00:00:00+00:00,,7.75,156884,1290,1107,256627,485,R - 17+ (violence & profanity),1 hr,,,"Action, Fantasy, Mystery, Romance, Suspense",ufotable,https://cdn.myanimelist.net/images/anime/3/21737.jpg,"In the winter of 1995, Mikiya Kokutou passes a young woman during a late night stroll in the snow. Clad in a striking white kimono and bearing an enigmatic gaze, Shiki Ryougi smiles at Mikiya who stares back with curiosity. Later that spring, Mikiya notices Shiki at his high school entrance ceremony, and they become acquaintances through lunchtime conversations. As Shiki begins opening up to him, Mikiya learns about her unique upbringing.

Meanwhile, a series of unprecedented murders takes place"
3783,Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,劇場版 空の境界 the Garden of sinners 第三章『痛覚残留』,Movie,Light novel,1,Finished Airing,2008-02-09T00:00:00+00:00,,8,147538,744,1172,243946,714,R+ - Mild Nudity,59 min,,,"Action, Drama, Fantasy, Mystery, Suspense",ufotable,https://cdn.myanimelist.net/images/anime/4/21735.jpg,"On a solemn night in July 1998, teenager Fujino Asagami is mercilessly raped by a street gang in a dilapidated bar. No matter what physical or sexual abuse they deal, however, the girl regards her captors with the same apathetic expression. The next day, mangled bodies are discovered in that same building, so torn apart that investigators find it infeasible to even consider the culprit human.

Elsewhere, a client request reaches Touko Aozaki's detective agency, tasking Shiki Ryougi with either c"
3784,Evangelion Movie 2: Ha,ヱヴァンゲリヲン新劇場版:破,Movie,Original,1,Finished Airing,2009-06-27T00:00:00+00:00,,8.29,367750,331,422,596963,3623,R+ - Mild Nudity,1 hr 52 min,,,"Drama, Sci-Fi, Suspense",Khara,https://cdn.myanimelist.net/images/anime/5/74983.jpg,"When the threat of the Angel menace escalates, mankind's defense force is pushed to its limits, with NERV at the forefront of the struggle. Shinji Ikari and his partner Rei Ayanami are assisted by two new pilots: the fiery Asuka Langley Shikinami and the mysterious Mari Illustrious Makinami.

With the aid of their mechanized Evangelion units, equipped with weapons perfect for engaging their monstrous opponents, the four young souls fight desperately to protect their loved ones and prevent an imp"
3785,Evangelion Movie 3: Q,ヱヴァンゲリヲン新劇場版:Q,Movie,Original,1,Finished Airing,2012-11-17T00:00:00+00:00,,7.67,298196,1504,533,494694,2263,PG-13 - Teens 13 or older,1 hr 35 min,,,"Award Winning, Drama, Sci-Fi, Suspense",Khara,https://cdn.myanimelist.net/images/anime/9/43201.jpg,"Fourteen years after the Third Impact, the Earth is a post-apocalyptic wasteland, human civilization is in ruins, and the people Shinji Ikari knows are almost unrecognizable. Trapped inside Evangelion Unit-01, he is recovered from space by Asuka Langley Shikinami and Mari Illustrious Makinami, only to find himself a prisoner of WILLE, a military faction led by his former guardian Misato Katsuragi. Cold and bitter, his former allies view him with suspicion and refuse to support him as he comes to"
